MapFile	StringId	English	Korean
7out05.STR	77	+10 Mind, Earth, and Body Resistance(Permanent)	정신, 대지, 육체 저항이 영구적으로 10 증가합니다.
7out06.STR	30	Enter the School of Sorcery	마법 학교에 들어갑니다.
7out06.STR	31	Enter the Red Dwarf Mines	레드 드워프 광산에 들어갑니다.
7out06.STR	33	To Main Square	중앙 광장으로
7out06.STR	65	You make a wish	소원을 빕니다.
7out06.STR	70	Suddenly, You Don't Feel too Well	갑자기 몸이 좋지 않습니다.
7out06.STR	71	You Make a Wish	소원을 빕니다.
7out06.STR	73	hmmm, You decide against it.	음... 하지 않기로 합니다.
7out13.STR	26	The Mercenary Guild 	용병 길드
7out13.STR	30	Enter the Wine Cellar	와인 저장고에 들어갑니다.
7out13.STR	31	Enter the Mercenary Guild	용병 길드에 들어갑니다.
7out13.STR	32	Enter the Tidewater Caverns	타이드워터 동굴에 들어갑니다.
7out13.STR	33	Enter Lord Markham's Manor	마컴 경의 저택에 들어갑니다.
7out13.STR	42	East to Steadwick	동쪽: 스테드윅
7out13.STR	70	You do not feel well.	몸이 좋지 않습니다.
7out13.STR	74	You decide it would be a bad idea to try that again.	다시 시도하는 것은 좋지 않겠다고 판단합니다.
7out15.STR	25	The Lincoln	링컨
7out15.STR	30	Enter the Lincoln	링컨에 들어갑니다.
BrAlvar.str	1	Your friends have disappeared!	동료들이 사라졌습니다!
BrAlvar.str	2	"Someone shouts: ""Prince Nicolai have been kidnapped!""."	"누군가 외칩니다. ""니콜라이 왕자님이 납치되셨다!"""
BrAlvar.str	3	Door won't budge!	문은 꼼짝도 하지 않습니다!
BrAlvar.str	4	Button won't budge.	버튼은 꼼짝도 하지 않습니다.
BrBase.str	1	Exit Breach Basement.	균열 지하실에서 나갑니다.
BrBase.str	2	Go up to the %sth floor.	%s층으로 올라갑니다.
BrBase.str	3	Go down to the %sth floor.	%s층으로 내려갑니다.
BrBase.str	4	Trap disarmed!	함정을 해제했습니다!
Breach.STR	1	Once you've put the Telelocator into empty slot, Breach has changed, you can not see any landscape behind it. Will you dare to enter? (Y/N)	빈 홈에 텔레로케이터를 끼우자 균열이 변해 그 너머의 풍경이 보이지 않습니다. 들어가시겠습니까? (예/아니요)
Breach.STR	3	Stick won't budge.	막대는 꼼짝도 하지 않습니다.
Breach.STR	4	You put your Telelocator into slot.	텔레로케이터를 홈에 끼웁니다.
Breach.STR	5	Slot of this Pedestal is empty.	이 받침대의 홈은 비어 있습니다.
CD1.STR	9	"""Etched into the tree a message reads:                                                                                                                                                                                                                              The first is half the forth plus one, better hurry or you'll be done!"""	나무에 글이 새겨져 있습니다. 첫째는 넷째의 절반에 하나를 더한 것. 서두르지 않으면 끝장이다!
CD1.STR	10	"""Etched into the tree a message reads:                                                                                                                                                                                                                              The second is next to the third, oh so pretty like a bird!"""	나무에 글이 새겨져 있습니다. 둘째는 셋째의 옆자리, 새처럼 아름답구나!
CD1.STR	11	"""Etched into the tree a message reads:                                                                                                                                                                                                                              The third is the first of twenty six, A through Z you'll have to mix!"""	나무에 글이 새겨져 있습니다. 셋째는 스물여섯 중 첫 번째. A부터 Z까지 잘 섞어 보아라!
CD1.STR	12	"""Etched into the tree a message reads:                                                                                                                                                                                                                              The fifth is twice the second, five letters in all I reckon!"""	나무에 글이 새겨져 있습니다. 다섯째는 둘째의 두 배. 모두 다섯 글자일 것이다!
CD1.STR	13	"""Etched into the tree a message reads:                                                                                                                                                                                                                              The forth is eight from the end, Archibald really is your friend!"""	나무에 글이 새겨져 있습니다. 넷째는 끝에서 여덟 번째. 아치볼드는 정말 네 친구다!
CD1.STR	14	What's the password?	암호는 무엇입니까?
CD1.STR	17	Wrong!	틀렸습니다!
CD1.STR	18	Ok!	좋아!
CD1.STR	19	"""Who told you!  Alright, you may pass!"""	누가 알려 준 거지! 좋아, 지나가도 된다!
CD1.STR	21	Restricted area - Keep out.	제한 구역 - 출입 금지.
CD2.STR	6	There is a hissing sound coming from the wall	벽에서 쉭쉭거리는 소리가 납니다.
CD2.STR	7	The crimson embers will lead the way	진홍빛 불씨가 길을 인도할 것입니다.
CD2.STR	9	The way has been cleared	길이 열렸습니다.
CD2.STR	10	The fires of the dead shall burn forever	죽은 자들의 불길은 영원히 타오르리라.
CD2.STR	12	The Book is destroyed	책이 파괴되었습니다.
CD2.STR	13	The Book of Liches is destroyed	리치의 책이 파괴되었습니다.
CD2.STR	16	Your way is blocked.	길이 막혀 있습니다.
CD2.STR	19	How Clever!  +20 Skill points	영리하군요! 스킬 포인트 +20
CD2.STR	20	Steal from the dead?	죽은 자에게서 훔치시겠습니까?
CD2.STR	21	Steal (Yes/No)?	훔치겠습니까? (예/아니요)
CD3.STR	9	"""The Guardian of Kriegspire proclaims, 'For 50,000 gold, the secret will be revealed!'"""	"크리그스파이어의 수호자가 선언합니다. ""금화 50,000을 내면 비밀을 알려 주겠다!"""
CD3.STR	10	Accept (Yes/No)?	수락하시겠습니까? (예/아니요)
CD3.STR	13	Get Lost!	꺼져라!
CD3.STR	15	"""The Curator of Kriegspire proclaims, 'For 10,000 gold you shall be healed.'"""	"크리그스파이어의 관리인이 선언합니다. ""금화 10,000을 내면 치료해 주겠다."""
d01.STR	2	Leave the Erathian Sewer	에라시아 하수도에서 나갑니다.
d02.STR	2	Leave the Maze	미궁에서 나갑니다.
d03.STR	2	Leave Castle Gloaming	글로밍 성에서 나갑니다.
d04.STR	2	Leave the Temple of Baa	바의 신전에서 나갑니다.
D05.STR	1	Leave the Abandoned Temple	버려진 신전에서 나갑니다.
D05.STR	30	The button will not move	버튼이 움직이지 않습니다.
D06.STR	1	Leave the Regnan Pirate Outpost	레그나 해적 전초기지에서 나갑니다.
D06.STR	14	You don't have the Key	열쇠가 없습니다.
D07.STR	1	Leave Smuggler's Cove	밀수꾼의 만에서 나갑니다.
D08.STR	1	Leave the Dire Wolf Den	다이어 울프 소굴에서 나갑니다.
D08.STR	40	You have killed all of the Dire Wolves	다이어 울프를 모두 처치했습니다.
D09.STR	1	Leave Merchant House of Alvar	알바르 상인회관에서 나갑니다.
D11.STR	1	Leave the Wasp Nest	말벌 둥지에서 나갑니다.
D12.STR	1	Leave the Ogre Raiding Fortress	오우거 요새에서 나갑니다.
D12.STR	30	You have Killed all of the Ogres	오우거를 모두 처치했습니다.
D13.STR	1	Leave the Troll Tomb	트롤 무덤에서 나갑니다.
D13.STR	20	Vilebite is now at rest !	바일바이트는 이제 안식을 얻었습니다!
D14.STR	1	Leave the Cyclops Larder	사이클롭스 식량창고에서 나갑니다.
D15.STR	1	Leave the Chain of Fire	불의 사슬에서 나갑니다.
D16.STR	1	Leave the Dragon Hunter's Camp	드래곤 사냥꾼 야영지에서 나갑니다.
D16.STR	30	You have killed all of the Dragon Hunters	드래곤 사냥꾼을 모두 처치했습니다.
D17.STR	1	Leave the dragon cave	드래곤 동굴에서 나갑니다.
D17.STR	16	The cave is empty	동굴은 비어 있습니다.
D17.STR	30	You have killed all of the Dragons	드래곤을 모두 처치했습니다.
D18.STR	1	Leave the Naga Vault	나가 보물고에서 나갑니다.
D19.STR	1	Leave the Necromancers' Guild	강령술사 길드에서 나갑니다.
D19.STR	6	Door Beam	문 들보
D19.STR	7	The lever will not move	레버가 움직이지 않습니다.
D19.STR	8	The Beam will not move	들보가 움직이지 않습니다.
D19.STR	10	The Door will not move	문이 움직이지 않습니다.
D20.STR	1	Leave the Mad Necromancer's Lab	미친 강령술사의 연구소에서 나갑니다.
D20.STR	12	Refreshing !	상쾌합니다!
D21.STR	1	Leave the Vampire Crypt	뱀파이어 납골당에서 나갑니다.
D22.STR	1	Leave the Temple of the Sun	태양의 신전에서 나갑니다.
D23.STR	1	Leave the Druid Circle	드루이드 서클에서 나갑니다.
D24.STR	1	Leave Balthazar Lair	발타자르 소굴에서 나갑니다.
D24.STR	30	Your wounds begin to heal	상처가 아물기 시작합니다.
D25.STR	1	Leave the Barbarian Fortress	야만인 요새에서 나갑니다.
D26.STR	1	Leave the Crypt of Korbu	코르부의 납골당에서 나갑니다.
D27.STR	1	Leave the Castle Air	공기의 성에서 나갑니다.
D28.STR	1	Leave the Tomb of Lord Brinne	브린 경의 무덤에서 나갑니다.
D29.STR	1	Leave the Castle of Fire	불의 성에서 나갑니다.
D30.STR	1	Leave the War Camp	전쟁 야영지에서 나갑니다.
D31.STR	1	Leave the Pirate Stronghold	해적 거점에서 나갑니다.
D32.STR	1	Leave the Abandoned Pirate Keep	버려진 해적 성채에서 나갑니다.
D32.STR	7	The ship begins to sink	배가 가라앉기 시작합니다.
D33.STR	1	Leave the Passage Under Regna	레그나 지하 통로에서 나갑니다.
D34.STR	1	Leave the Small Sub Pen	소형 잠수함 격납고에서 나갑니다.
d35.STR	1	Leave Escaton's Palace	에스카톤의 궁전에서 나갑니다.
D36.STR	1	Leave the Prison of the Lord of Air	공기의 군주의 감옥에서 나갑니다.
D37.STR	1	Leave the Prison of the Lord of Fire	불의 군주의 감옥에서 나갑니다.
D38.STR	1	Leave Prison of the Lord of Water	물의 군주의 감옥에서 나갑니다.
D39.STR	1	Leave the Prison of the Lord of Earth	대지의 군주의 감옥에서 나갑니다.
D40.STR	1	Leave the Uplifted Library	떠오른 도서관에서 나갑니다.
D41.STR	1	Leave the Dark Dwarf Compound	다크 드워프 거주지에서 나갑니다.
d42.str	10	Talk to the Arena Master	투기장 관리자와 대화합니다.
d43.str	1	Leave the Ancient Troll Home	고대 트롤의 거처에서 나갑니다.
d43.str	30	You have Killed all of the Basilisks in this Ancient Troll Home	고대 트롤의 거처에 있는 바실리스크를 모두 처치했습니다.
d44.str	1	Leave the Grand Temple of Eep	이프 대사원에서 나갑니다.
d45.str	1	Leave the Chapel of Eep	이프 예배당에서 나갑니다.
d46.str	1	Leave the Church of Eep	이프 교회에서 나갑니다.
D47.STR	1	Leave Old Loeb's Cave	늙은 로브의 동굴에서 나갑니다.
D48.STR	1	Leave Ilsingore's Cave	일싱고어의 동굴에서 나갑니다.
D49.STR	1	Leave Yaardrake's Cave	야드드레이크의 동굴에서 나갑니다.
d50.STR	1	Leave New World Computing	뉴 월드 컴퓨팅에서 나갑니다.
ElemA.STR	1	Leave the Plane of Air	공기의 차원에서 나갑니다.
ElemA.STR	2	Gate out of the Plane of Air	공기의 차원에서 나가는 차원문.
ElemA.STR	50	Enter the Castle of Air	공기의 성에 들어갑니다.
ElemE.STR	1	Leave the Plane of Earth	대지의 차원에서 나갑니다.
ElemE.STR	2	Gate out of the Plane of Earth	대지의 차원에서 나가는 차원문.
ElemF.STR	1	Leave the Plane of Fire	불의 차원에서 나갑니다.
ElemF.STR	2	Gate out of the Plane of Fire	불의 차원에서 나가는 차원문.
ElemF.STR	50	Enter the Castle of Fire	불의 성에 들어갑니다.
ElemF.STR	51	Enter the War Camp	전쟁 야영지에 들어갑니다.
ElemW.STR	1	Leave the Plane of Water	물의 차원에서 나갑니다.
ElemW.STR	2	Gate out of the Plane of Water	물의 차원에서 나가는 차원문.
HIVE.STR	4	Warning!  Flush system activated!	경고! 배출 시스템이 작동했습니다!
HIVE.STR	5	Flush sequence in progress.	배출 절차가 진행 중입니다.
HIVE.STR	6	Flush system activated.	배출 시스템이 작동했습니다.
HIVE.STR	7	Flush sequence complete.	배출 절차가 완료되었습니다.
HIVE.STR	8	Flush system deactivated	배출 시스템이 비활성화되었습니다.
HIVE.STR	12	The Hive	하이브
HIVE.STR	13	Poison spray!	독 분사!
HIVE.STR	15	Protected	보호됨
MDT10.STR	2	Leave to tower	탑에서 나갑니다.
MDT11.STR	2	Leave the Hidden tomb	숨겨진 무덤에서 나갑니다.
ORACLE.STR	4	Not enough memory to operate.	작동에 필요한 메모리가 부족합니다.
ORACLE.STR	7	Power on.  Status:  All systems functional.	전원 켜짐. 상태: 모든 시스템 정상.
ORACLE.STR	8	Power off.  Status:  All systems shut down.	전원 꺼짐. 상태: 모든 시스템 정지.
ORACLE.STR	9	Insert Memory module to activate Melian.	멜리안을 활성화하려면 메모리 모듈을 삽입하십시오.
ORACLE.STR	10	Memory module restored.	메모리 모듈이 복구되었습니다.
ORACLE.STR	11	"""+100,000 Experience"""	경험치 +100,000
ORACLE.STR	12	Stand by�	대기 중...
OUT01.STR	14	You need a power stone to operate this teleporter	이 순간이동 장치를 작동하려면 파워 스톤이 필요합니다.
OUT01.STR	21	You receive an apple	사과를 얻었습니다.
OUT01.STR	23	You receive some berries	열매를 조금 얻었습니다.
OUT01.STR	41	Palm tree	야자나무
